Invoice ID,Branch,Customer type,Gender,ProductID,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,A,Member,Female,PID01,7,26.1415,548.9715,05/01/2019,13:08,Ewallet,522.83,4.761904762,26.1415,9.1
123-19-1176,A,Member,Male,PID02,8,23.288,489.048,27/01/2019,20:33,Ewallet,465.76,4.761904762,23.288,8.4
355-53-5943,A,Member,Female,PID03,6,20.652,433.692,25/02/2019,14:36,Ewallet,413.04,4.761904762,20.652,5.8
665-32-9167,A,Member,Female,PID04,2,3.626,76.146,10/01/2019,17:15,Credit card,72.52,4.761904762,3.626,7.2
656-95-9349,A,Member,Female,PID05,7,24.1255,506.6355,11/03/2019,11:03,Credit card,482.51,4.761904762,24.1255,4.6
549-59-1358,A,Member,Male,PID06,3,13.2945,279.1845,02/03/2019,17:36,Ewallet,265.89,4.761904762,13.2945,6
227-03-5010,A,Member,Female,PID07,8,21.036,441.756,22/03/2019,19:20,Credit card,420.72,4.761904762,21.036,8.5
129-29-8530,A,Member,Male,PID08,5,15.655,328.755,10/03/2019,19:15,Ewallet,313.1,4.761904762,15.655,7
162-48-8011,A,Member,Female,PID09,5,11.1475,234.0975,10/02/2019,15:10,Cash,222.95,4.761904762,11.1475,8.5
106-35-6779,A,Member,Male,PID10,2,4.434,93.114,27/03/2019,11:26,Cash,88.68,4.761904762,4.434,5.8
589-02-8023,A,Member,Male,PID100,2,8.377,175.917,15/01/2019,10:54,Credit card,167.54,4.761904762,8.377,7
706-36-6154,A,Member,Male,PID101,9,8.712,182.952,18/01/2019,18:43,Ewallet,174.24,4.761904762,8.712,8.7
742-04-5161,A,Member,Male,PID102,10,36.39,764.19,03/02/2019,17:24,Cash,727.8,4.761904762,36.39,7.3
562-12-5430,A,Member,Female,PID103,3,13.2225,277.6725,18/01/2019,10:11,Ewallet,264.45,4.761904762,13.2225,7.9
816-72-8853,A,Member,Female,PID104,5,6.9825,146.6325,29/01/2019,15:48,Cash,139.65,4.761904762,6.9825,5.9
529-56-3981,A,Normal,M,PID104,5,8.64,181.44,17/02/2020,11:15,Ewallet,172.8,4.761904762,8.64,9.9
491-38-3499,A,Member,Male,PID105,1,2.7725,58.2225,26/02/2019,17:46,Credit card,55.45,4.761904762,2.7725,4.9
588-47-8641,A,Member,Male,PID106,10,28.02,588.42,14/01/2019,19:30,Ewallet,560.4,4.761904762,28.02,4.4
274-05-5470,A,Member,F,PID107,4,14.694,308.574,23/02/2019,18:30,Cash,293.88,4.761904762,14.694,6
130-67-4723,A,Member,Male,PID108,6,14.55,305.55,11/01/2019,13:57,Ewallet,291,4.761904762,14.55,9.4
105-10-6182,A,Member,Male,PID109,2,2.148,45.108,27/02/2019,12:22,Ewallet,42.96,4.761904762,2.148,6.6
817-48-8732,A,Member,Female,PID11,10,36.175,759.675,20/01/2019,15:55,Cash,723.5,4.761904762,36.175,5.4
648-83-1321,A,Member,Male,PID110,10,31.78,667.38,16/01/2019,17:59,Cash,635.6,4.761904762,31.78,4.3
689-05-1884,A,Member,Male,PID111,10,24.315,510.615,04/03/2019,12:44,Cash,486.3,4.761904762,24.315,8.8
800-09-8606,A,Member,F,PID112,5,21.8425,458.6925,29/01/2019,19:45,Cash,436.85,4.761904762,21.8425,6.6
182-52-7000,A,Member,F,PID113,4,5.408,113.568,01/01/2019,20:26,Ewallet,108.16,4.761904762,5.408,6.9
868-06-0466,A,Member,Male,PID114,9,31.311,657.531,19/02/2019,19:38,Credit card,626.22,4.761904762,31.311,7.8
786-94-2700,A,Member,Male,PID115,6,24.186,507.906,28/02/2019,20:18,Cash,483.72,4.761904762,24.186,9.1
857-16-3520,A,Member,Female,PID116,7,25.011,525.231,28/03/2019,16:06,Ewallet,500.22,4.761904762,25.011,4.5
482-17-1179,A,Member,Male,PID117,3,1.791,37.611,19/01/2019,12:47,Credit card,35.82,4.761904762,1.791,8.1
247-11-2470,A,Member,Female,PID118,4,4.464,93.744,01/03/2019,16:23,Credit card,89.28,4.761904762,4.464,4.4
756-49-0168,A,Member,Male,PID119,1,0.985,20.685,08/02/2019,11:39,Ewallet,19.7,4.761904762,0.985,9.5
199-75-8169,A,Member,Male,PID12,10,7.905,166.005,06/03/2019,12:27,Credit card,158.1,4.761904762,7.905,8.6
373-14-0504,A,Member,Female,PID120,2,7.163,150.423,12/02/2019,14:33,Ewallet,143.26,4.761904762,7.163,8.8
546-80-2899,A,Member,Male,PID121,2,3.769,79.149,20/02/2019,15:29,Ewallet,75.38,4.761904762,3.769,9.5
807-14-7833,A,Member,Female,PID122,10,8.71,182.91,22/02/2019,12:30,Ewallet,174.2,4.761904762,8.71,7
